date;userID;label
01/08/2009 16:06;1447;questions
01/08/2009 16:17;18;endorses
01/08/2009 16:21;103;endorses
01/08/2009 16:43;1660;endorses
01/08/2009 16:56;1942;endorses
01/08/2009 17:03;2808;endorses
01/08/2009 17:04;445;endorses
01/08/2009 17:07;2437;endorses
01/08/2009 17:15;300;endorses
01/08/2009 17:16;462;endorses
01/08/2009 17:21;534;endorses
01/08/2009 17:21;883;endorses
01/08/2009 17:24;1471;endorses
01/08/2009 17:27;908;endorses
01/08/2009 17:33;1726;endorses
01/08/2009 17:40;34;endorses
01/08/2009 17:46;2940;questions
01/08/2009 17:48;2646;endorses
01/08/2009 17:51;103;endorses
01/08/2009 17:52;2954;endorses
01/08/2009 18:00;1173;questions
01/08/2009 18:01;2183;questions
01/08/2009 18:03;629;questions
01/08/2009 18:04;1339;endorses
01/08/2009 18:05;2973;questions
01/08/2009 18:05;143;endorses
01/08/2009 18:06;2656;questions
01/08/2009 18:07;2258;endorses
01/08/2009 18:07;2927;endorses
01/08/2009 18:08;3109;endorses
01/08/2009 18:10;233;endorses
01/08/2009 18:12;2390;endorses
01/08/2009 18:16;704;endorses
01/08/2009 18:17;1946;questions
01/08/2009 18:17;2184;endorses
01/08/2009 18:19;741;endorses
01/08/2009 18:20;816;endorses
01/08/2009 18:20;943;endorses
01/08/2009 18:21;103;endorses
01/08/2009 18:21;103;endorses
01/08/2009 18:21;741;endorses
01/08/2009 18:23;728;endorses
01/08/2009 18:25;1612;endorses
01/08/2009 18:26;2801;questions
01/08/2009 18:27;1980;questions
01/08/2009 18:27;2218;endorses
01/08/2009 18:27;1422;endorses
01/08/2009 18:29;139;questions
01/08/2009 18:29;686;endorses
01/08/2009 18:30;409;questions
01/08/2009 18:31;82;endorses
01/08/2009 18:31;1749;questions
01/08/2009 18:31;2920;endorses
01/08/2009 18:32;59;questions
01/08/2009 18:33;2536;questions
01/08/2009 18:34;2174;questions
01/08/2009 18:34;162;endorses
01/08/2009 18:35;1339;endorses
01/08/2009 18:35;857;endorses
01/08/2009 18:35;1114;endorses
01/08/2009 18:35;547;questions
01/08/2009 18:36;718;endorses
01/08/2009 18:37;2794;endorses
01/08/2009 18:37;2687;endorses
01/08/2009 18:37;775;endorses
01/08/2009 18:37;143;endorses
01/08/2009 18:37;718;questions
01/08/2009 18:38;2918;questions
01/08/2009 18:38;1536;endorses
01/08/2009 18:38;2905;endorses
01/08/2009 18:38;1825;endorses
01/08/2009 18:38;1549;endorses
01/08/2009 18:38;10;endorses
01/08/2009 18:38;739;endorses
01/08/2009 18:39;275;endorses
01/08/2009 18:39;275;endorses
01/08/2009 18:40;2179;endorses
01/08/2009 18:40;87;questions
01/08/2009 18:40;1362;endorses
